,FRENCH,ENGLISH,THEME,IMPORTANT,ENGLISH_nopunct,ENGLISH_noswords,ENGLISH_stem,FRENCH_nopunct,FRENCH_noswords,FRENCH_stem
266,grossir / devenir gros,to get fat,verbes action et mouvements,,to get fat,get fat,get fat,grossir  devenir gros,grossir devenir gros,grossir devenir gro
267,hausser les épaules,to shrug,verbes action et mouvements,,to shrug,shrug,shrug,hausser les épaules,hausser épaules,hausser épaul
268,hurler / crier,to scream,verbes action et mouvements,,to scream,scream,scream,hurler  crier,hurler crier,hurler cri
269,jeter / lancer,to throw,verbes action et mouvements,,to throw,throw,throw,jeter  lancer,jeter lancer,jeter lanc
270,lécher,to lick,verbes action et mouvements,,to lick,lick,lick,lécher,lécher,lécher
271,mâcher,to chew,verbes action et mouvements,,to chew,chew,chew,mâcher,mâcher,mâcher
272,mordre,to bite,verbes action et mouvements,,to bite,bite,bite,mordre,mordre,mordr
273,nager,to swim,verbes action et mouvements,,to swim,swim,swim,nager,nager,nager
274,partir / quitter,to leave,verbes action et mouvements,,to leave,leave,leav,partir  quitter,partir quitter,partir quitt
275,passer,to pass,verbes action et mouvements,,to pass,pass,pass,passer,passer,passer
276,penser,to think,verbes action et mouvements,,to think,think,think,penser,penser,penser
277,perdre du poids,to lose weight,verbes action et mouvements,,to lose weight,lose weight,lose weight,perdre du poids,perdre poids,perdre poid
278,plier,to bend,verbes action et mouvements,,to bend,bend,bend,plier,plier,plier
279,plonger,to dive,verbes action et mouvements,,to dive,dive,dive,plonger,plonger,plonger
280,pointer,to point,verbes action et mouvements,,to point,point,point,pointer,pointer,pointer
281,porter / emporter,to carry,verbes action et mouvements,,to carry,carry,carri,porter  emporter,porter emporter,porter emport
282,poursuivre,to pursue,verbes action et mouvements,,to pursue,pursue,pursu,poursuivre,poursuivre,poursuivr
283,pousser,to push,verbes action et mouvements,,to push,push,push,pousser,pousser,pousser
284,ramasser,to pick up,verbes action et mouvements,,to pick up,pick,pick,ramasser,ramasser,ramass
285,ramener / rapporter,to bring back,verbes action et mouvements,,to bring back,bring back,bring back,ramener  rapporter,ramener rapporter,ramener rapport
286,ramper,to crawl,verbes action et mouvements,,to crawl,crawl,crawl,ramper,ramper,ramper
287,reculer,to back off,verbes action et mouvements,,to back off,back,back,reculer,reculer,recul
288,reculer / revenir en arrière,to move back,verbes action et mouvements,,to move back,move back,move back,reculer  revenir en arrière,reculer revenir arrière,reculer revenir arrièr
289,regarder,to watch,verbes action et mouvements,,to watch,watch,watch,regarder,regarder,regard
290,renifler,to sniff,verbes action et mouvements,,to sniff,sniff,sniff,renifler,renifler,renifl
291,réparer (quelque chose),to fix (something),verbes action et mouvements,,to fix something,fix something,fix someth,réparer quelque chose,réparer quelque chose,réparer quelque chos
292,respirer,to breathe,verbes action et mouvements,,to breathe,breathe,breath,respirer,respirer,respir
293,retourner / revenir,to return,verbes action et mouvements,,to return,return,return,retourner  revenir,retourner revenir,retourner revenir
294,rêver,to dream,verbes action et mouvements,,to dream,dream,dream,rêver,rêver,rêver
295,rouler,to roll,verbes action et mouvements,,to roll,roll,roll,rouler,rouler,rouler
296,s ‘éloigner,to move away,verbes action et mouvements,,to move away,move away,move away,s ‘éloigner,‘ éloigner,‘ éloigner
297,s’accroupir,"to crouch, to squat",verbes action et mouvements,,to crouch to squat,crouch squat,crouch squat,s’accroupir,’ accroupir,’ accroupir
298,s’allonger / se coucher,to lie down,verbes action et mouvements,,to lie down,lie,lie,s’allonger  se coucher,’ allonger coucher,’ allonger couch
299,s’approcher,to approach,verbes action et mouvements,,to approach,approach,approach,s’approcher,’ approcher,’ approch
300,s’évader,to evade,verbes action et mouvements,,to evade,evade,evad,s’évader,’ évader,’ évader
301,sauter,to jump,verbes action et mouvements,,to jump,jump,jump,sauter,sauter,sauter
302,se doucher / prendre une douche,to shower,verbes action et mouvements,,to shower,shower,shower,se doucher  prendre une douche,doucher prendre douche,doucher prendre douch
303,se garer,to park,verbes action et mouvements,,to park,park,park,se garer,garer,garer
304,se lever,to stand up,verbes action et mouvements,,to stand up,stand,stand,se lever,lever,lever
305,se mettre à genoux / s’agenouiller,to kneel,verbes action et mouvements,,to kneel,kneel,kneel,se mettre à genoux  s’agenouiller,mettre genoux ’ agenouiller,mettre genoux ’ agenouil
306,se retourner,to turn around,verbes action et mouvements,,to turn around,turn around,turn around,se retourner,retourner,retourn
307,secouer,to shake,verbes action et mouvements,,to shake,shake,shake,secouer,secouer,secouer
308,sentir,to smell,verbes action et mouvements,,to smell,smell,smell,sentir,sentir,sentir
309,siffler,to whistle,verbes action et mouvements,,to whistle,whistle,whistl,siffler,siffler,siffler
310,souffler,to blow,verbes action et mouvements,,to blow,blow,blow,souffler,souffler,souffler
311,soulever,to lift up,verbes action et mouvements,,to lift up,lift,lift,soulever,soulever,soulev
312,suer / transpirer,to sweat,verbes action et mouvements,,to sweat,sweat,sweat,suer  transpirer,suer transpirer,suer transpir
313,suivre (quelqu’un),to follow (someone),verbes action et mouvements,,to follow someone,follow someone,follow someon,suivre quelqu’un,suivre quelqu ’,suivre quelqu ’
314,tirer,to pull,verbes action et mouvements,,to pull,pull,pull,tirer,tirer,tirer
315,toucher,to touch,verbes action et mouvements,,to touch,touch,touch,toucher,toucher,toucher
316,traîner,to drag,verbes action et mouvements,,to drag,drag,drag,traîner,traîner,traîner
317,venir,to come,verbes action et mouvements,,to come,,,venir,venir,venir
318,verser,to pour,verbes action et mouvements,,to pour,,,verser,verser,verser
319,visiter,to visit,verbes action et mouvements,,to visit,visit,visit,visiter,visiter,visit
320,accueillant,welcoming,verbes action et mouvements,,welcoming,welcoming,welcom,accueillant,accueillant,accueil
321,admirable,admirable,adjectifs utiles,,admirable,admirable,admir,admirable,admirable,admir
322,agacé,annoyed,adjectifs utiles,,annoyed,annoyed,annoy,agacé,agacé,agacé
323,âgé (e),elderly,adjectifs utiles,,elderly,elderly,elderli,âgé e,âgé,âgé
324,agréable,pleasant,adjectifs utiles,,pleasant,pleasant,pleasant,agréable,agréable,agréabl
325,aimable,kind,adjectifs utiles,,kind,kind,kind,aimable,aimable,aimabl
326,amer,bitter,adjectifs utiles,,bitter,bitter,bitter,amer,amer,amer
327,amical,friendly,adjectifs utiles,,friendly,friendly,friendli,amical,amical,amic
328,amusant,fun,adjectifs utiles,,fun,fun,fun,amusant,amusant,amus
329,ancien,former,adjectifs utiles,,former,former,former,ancien,ancien,ancien
330,approximatif,approximate,adjectifs utiles,,approximate,approximate,approxim,approximatif,approximatif,approximatif
331,attentif,attentive,adjectifs utiles,,attentive,attentive,attent,attentif,attentif,attentif
332,automatique,automatic,adjectifs utiles,,automatic,automatic,automat,automatique,automatique,automatiqu
333,banal,banal,adjectifs utiles,,banal,banal,banal,banal,banal,banal
334,bas,bottom,adjectifs utiles,,bottom,bottom,bottom,bas,bas,ba
335,"beau, bel, belle",beautiful,adjectifs utiles,,beautiful,beautiful,beauti,beau bel belle,beau bel belle,beau bel bel
336,bête,beast,adjectifs utiles,,beast,beast,beast,bête,bête,bête
337,"bizarre, étrange","weird, strange",adjectifs utiles,,weird strange,weird strange,weird strang,bizarre étrange,bizarre étrange,bizarre étrang
338,blessé,wounded,adjectifs utiles,,wounded,wounded,wound,blessé,blessé,blessé
339,bon,good,adjectifs utiles,,good,good,good,bon,bon,bon
340,bon marché,inexpensive,adjectifs utiles,,inexpensive,inexpensive,inexpens,bon marché,bon marché,bon marché
341,bonne santé,soundness,adjectifs utiles,,soundness,soundness,sound,bonne santé,bonne santé,bonne santé
342,bouché,corked,adjectifs utiles,,corked,corked,cork,bouché,bouché,bouché
343,bronzé,tanned,adjectifs utiles,,tanned,tanned,tan,bronzé,bronzé,bronzé
344,brusque,abrupt,adjectifs utiles,,abrupt,abrupt,abrupt,brusque,brusque,brusqu
345,bruyant,noisy,adjectifs utiles,,noisy,noisy,noisi,bruyant,bruyant,bruyant
346,calme,calm,adjectifs utiles,,calm,calm,calm,calme,calme,calm
347,capable,capable,adjectifs utiles,,capable,capable,capabl,capable,capable,capabl
348,captivant,captivating,adjectifs utiles,,captivating,captivating,captiv,captivant,captivant,captiv
349,caractériel,character,adjectifs utiles,,character,character,charact,caractériel,caractériel,caractériel
350,carré,square,adjectifs utiles,,square,square,squar,carré,carré,carré
351,cassé,broken,adjectifs utiles,,broken,broken,broken,cassé,cassé,cassé
352,catastrophique,catastrophic,adjectifs utiles,,catastrophic,catastrophic,catastroph,catastrophique,catastrophique,catastrophiqu
353,célèbre,famous,adjectifs utiles,,famous,famous,famou,célèbre,célèbre,célèbre
354,"chaleureux, amical","warm, friendly",adjectifs utiles,,warm friendly,warm friendly,warm friendli,chaleureux amical,chaleureux amical,chaleureux am
355,chanceux,lucky,adjectifs utiles,,lucky,lucky,lucki,chanceux,chanceux,chanceux
356,charmant,charming,adjectifs utiles,,charming,charming,charm,charmant,charmant,charmant
357,chaud,hot,adjectifs utiles,,hot,hot,hot,chaud,chaud,chaud
358,cher,dear,adjectifs utiles,,dear,dear,dear,cher,cher,cher
359,clair,clear,adjectifs utiles,,clear,clear,clear,clair,clair,clair
360,classique,classic,adjectifs utiles,,classic,classic,classic,classique,classique,classiqu
361,collant,tights,adjectifs utiles,,tights,tights,tight,collant,collant,collant
362,coloré,colored,adjectifs utiles,,colored,colored,color,coloré,coloré,coloré
363,comestible,edible,adjectifs utiles,,edible,edible,edibl,comestible,comestible,comest
364,commercial,commercial,adjectifs utiles,,commercial,commercial,commerci,commercial,commercial,commerci
365,commun,common,adjectifs utiles,,common,common,common,commun,commun,commun
366,compact,compact,adjectifs utiles,,compact,compact,compact,compact,compact,compact
367,compatissant,compassionate,adjectifs utiles,,compassionate,compassionate,compassion,compatissant,compatissant,compatiss
368,complet,complete,adjectifs utiles,,complete,complete,complet,complet,complet,complet
369,complexe,complex,adjectifs utiles,,complex,complex,complex,complexe,complexe,complex
370,confiant,trusting,adjectifs utiles,,trusting,trusting,trust,confiant,confiant,confiant
371,"confortable, agréable","comfortable, pleasant",adjectifs utiles,,comfortable pleasant,comfortable pleasant,comfortable pleas,confortable agréable,confortable agréable,confortable agré
372,content,content,adjectifs utiles,,content,content,content,content,content,content
373,convaincant,convincing,adjectifs utiles,,convincing,convincing,convinc,convaincant,convaincant,convainc
374,convenable,decent,adjectifs utiles,,decent,decent,decent,convenable,convenable,conven
375,convivial,user-friendly,adjectifs utiles,,userfriendly,userfriendly,userfriendli,convivial,convivial,convivi
376,"correct, bon","correct, good",adjectifs utiles,,correct good,correct good,correct good,correct bon,correct bon,correct bon
377,coupable,guilty,adjectifs utiles,,guilty,guilty,guilti,coupable,coupable,coupabl
378,courageux,brave,adjectifs utiles,,brave,brave,brave,courageux,courageux,courageux
379,court,short,adjectifs utiles,,short,short,short,court,court,court
380,crédible,credible,adjectifs utiles,,credible,credible,credibl,crédible,crédible,crédibl
381,croyant,believer,adjectifs utiles,,believer,believer,believ,croyant,croyant,croyant
382,culturel,cultural,adjectifs utiles,,cultural,cultural,cultur,culturel,culturel,culturel
383,curieux,curious,adjectifs utiles,,curious,curious,curiou,curieux,curieux,curieux
384,dangereux,dangerous,adjectifs utiles,,dangerous,dangerous,danger,dangereux,dangereux,dangereux
385,dégoûtant,disgusting,adjectifs utiles,,disgusting,disgusting,disgust,dégoûtant,dégoûtant,dégoûtant
386,dégoûté,disgusted,adjectifs utiles,,disgusted,disgusted,disgust,dégoûté,dégoûté,dégoûté
387,délectable,delectable,adjectifs utiles,,delectable,delectable,delect,délectable,délectable,délectabl
388,délicieux,delicious,adjectifs utiles,,delicious,delicious,delici,délicieux,délicieux,délicieux
389,démocratique,democratic,adjectifs utiles,,democratic,democratic,democrat,démocratique,démocratique,démocratiqu
390,déprimé,depressed,adjectifs utiles,,depressed,depressed,depress,déprimé,déprimé,déprimé
391,dernier,latest,adjectifs utiles,,latest,latest,latest,dernier,dernier,dernier
392,désagréable,unpleasant,adjectifs utiles,,unpleasant,unpleasant,unpleas,désagréable,désagréable,désagréabl
393,déterminé,determined,adjectifs utiles,,determined,determined,determin,déterminé,déterminé,déterminé
394,différent,different,adjectifs utiles,,different,different,differ,différent,différent,différent
395,difficile,difficult,adjectifs utiles,,difficult,difficult,difficult,difficile,difficile,difficil
396,disparu,missing,adjectifs utiles,,missing,missing,miss,disparu,disparu,disparu
397,divers,miscellaneous,adjectifs utiles,,miscellaneous,miscellaneous,miscellan,divers,divers,diver
398,doué,gifted,adjectifs utiles,,gifted,gifted,gift,doué,doué,doué
399,doux,sweet,adjectifs utiles,,sweet,sweet,sweet,doux,doux,doux
400,drôle,funny,adjectifs utiles,,funny,funny,funni,drôle,drôle,drôle
401,dur,hard,adjectifs utiles,,hard,hard,hard,dur,dur,dur
402,dynamique,dynamic,adjectifs utiles,,dynamic,dynamic,dynam,dynamique,dynamique,dynamiqu
403,éblouissant,dazzling,adjectifs utiles,,dazzling,dazzling,dazzl,éblouissant,éblouissant,éblouissant
404,écologique,ecological,adjectifs utiles,,ecological,ecological,ecolog,écologique,écologique,écologiqu
405,économique,economic,adjectifs utiles,,economic,economic,econom,économique,économique,économiqu
406,efficace,effective,adjectifs utiles,,effective,effective,effect,efficace,efficace,efficac
407,effrayant,creepy,adjectifs utiles,,creepy,creepy,creepi,effrayant,effrayant,effray
