ID,FRENCH,ENGLISH,THEME,IMPORTANT
640,du maïs,corn,arbres plantes jardinage,
641,du muguet,lily of the valley,arbres plantes jardinage,
642,du persil,parsley,arbres plantes jardinage,
643,l’automne,autumn/ fall,arbres plantes jardinage,
644,l’été,summer/ summertime,arbres plantes jardinage,
645,l’hiver,winter,arbres plantes jardinage,
646,la culture,the cultivation,arbres plantes jardinage,
647,la pluie,the rain,arbres plantes jardinage,
648,la récolte,the crop,arbres plantes jardinage,
649,la rosée,the dew,arbres plantes jardinage,
650,le feuillage,the foliage,arbres plantes jardinage,
651,le jardin,the garden,arbres plantes jardinage,
652,le parterre de fleurs,the flowerbed,arbres plantes jardinage,
653,le printemps,spring,arbres plantes jardinage,
654,le sol/ la terre,the soil/ the ground,arbres plantes jardinage,
655,le soleil,the sun,arbres plantes jardinage,
656,les fleurs poussent,the flowers are growing,arbres plantes jardinage,
657,planter,to plant,arbres plantes jardinage,
658,tondre le gazon,to mow the lawn,arbres plantes jardinage,
659,un abricotier,an apricot tree,arbres plantes jardinage,
660,un arbre,a tree,arbres plantes jardinage,
661,un arbre fruitier,a fruit tree,arbres plantes jardinage,
662,un arrosoir,a watering can,arbres plantes jardinage,
663,un artichaut,an artichoke,arbres plantes jardinage,
664,un bananier,a banana tree,arbres plantes jardinage,
665,un banc,a bench,arbres plantes jardinage,
666,un bois,a wood,arbres plantes jardinage,
667,un bouleau,a birch tree,arbres plantes jardinage,
668,un bouquet de fleurs,a bouquet of flowers,arbres plantes jardinage,
669,un bourgeon,a bud,arbres plantes jardinage,
670,un brocoli,a broccoli,arbres plantes jardinage,
671,un buis,a boxwood,arbres plantes jardinage,
672,un buisson,a bush,arbres plantes jardinage,
673,un céleri,a celery,arbres plantes jardinage,
674,un cerisier,a cherry tree,arbres plantes jardinage,
675,un champignon,a mushroom,arbres plantes jardinage,
676,un chemin,a path,arbres plantes jardinage,
677,un chêne,an oak tree,arbres plantes jardinage,
678,un chou,a cabbage,arbres plantes jardinage,
679,un chou-fleur,a cauliflower,arbres plantes jardinage,
680,un choux de bruxelles,a brussel sprout,arbres plantes jardinage,
681,un citronnier,a lemon tree,arbres plantes jardinage,
682,un concombre,a cucumber,arbres plantes jardinage,
683,un coquelicot,a poppy,arbres plantes jardinage,
684,un érable,a maple tree,arbres plantes jardinage,
685,un figuier,a fig tree,arbres plantes jardinage,
686,un hêtre,a beech tree,arbres plantes jardinage,
687,un hortensia,an hydrangea,arbres plantes jardinage,
688,un lis,a lily,arbres plantes jardinage,
689,un marronnier,a chestnut tree,arbres plantes jardinage,
690,un navet,a turnip,arbres plantes jardinage,
691,un noyer,a walnut tree,arbres plantes jardinage,
692,un œillet,a carnation,arbres plantes jardinage,
693,un oignon,an onion,arbres plantes jardinage,
694,un oignon de printemps,a spring onion,arbres plantes jardinage,
695,un oranger,an orange tree,arbres plantes jardinage,
696,un orme,an elm tree,arbres plantes jardinage,
697,un outil,a tool,arbres plantes jardinage,
698,un papillon,a butterfly,arbres plantes jardinage,
699,un pêcher,a peach tree,arbres plantes jardinage,
700,un perce-neige,a snowdrop,arbres plantes jardinage,
701,un peuplier,a poplar tree,arbres plantes jardinage,
702,un pin,a pine tree,arbres plantes jardinage,
703,un pissenlit,a dandelion,arbres plantes jardinage,
704,un platane,a plane tree,arbres plantes jardinage,
705,un poireau,a leek,arbres plantes jardinage,
706,un poirier,a pear tree,arbres plantes jardinage,
707,un poivron,a pepper,arbres plantes jardinage,
708,un pommier,an apple tree,arbres plantes jardinage,
709,un potager,a vegetable garden,arbres plantes jardinage,
710,un radis,a radish,arbres plantes jardinage,
711,un renoncule,a buttercup,arbres plantes jardinage,
712,un rosier,a rose bush,arbres plantes jardinage,
713,un sapin,a fir tree,arbres plantes jardinage,
714,un saule pleureur,a weeping willow tree,arbres plantes jardinage,
715,un tilleul,a lime tree,arbres plantes jardinage,
716,un tournesol,a sunflower,arbres plantes jardinage,
717,un tronc (d’arbre),a trunk (of a tree),arbres plantes jardinage,
718,un tuyau,a hose,arbres plantes jardinage,
719,un ver,a worm,arbres plantes jardinage,
720,un verger,an orchard,arbres plantes jardinage,
721,un vignoble,a vineyard,arbres plantes jardinage,
722,une asperge,an asparagus,arbres plantes jardinage,
723,une aubergine,an eggplant,arbres plantes jardinage,
724,une baie,a berry,arbres plantes jardinage,
725,une betterave,a beetroot,arbres plantes jardinage,
726,une branche,a branch,arbres plantes jardinage,
727,une brouette,a wheelbarrow,arbres plantes jardinage,
728,une campanule,a bellflower,arbres plantes jardinage,
729,une carotte,a carrot,arbres plantes jardinage,
730,une chrysanthème,a chrysanthemum,arbres plantes jardinage,
731,une citrouille,a pumpkin,arbres plantes jardinage,
732,une clôture,a fence,arbres plantes jardinage,
733,une courgette,a zucchini,arbres plantes jardinage,
734,une écorce,a bark,arbres plantes jardinage,
735,une endive,an endive,arbres plantes jardinage,
736,une épine,a thorn,arbres plantes jardinage,
737,une feuille,a leaf,arbres plantes jardinage,
738,une forêt tropicale,a tropical forest,arbres plantes jardinage,
739,une graine,a seed,arbres plantes jardinage,
740,une guêpe,a wasp,arbres plantes jardinage,
741,une haie,a hedge,arbres plantes jardinage,
742,une jacinthe,a hyacinth,arbres plantes jardinage,
743,une jonquille,a daffodil,arbres plantes jardinage,
744,une laitue,a lettuce,arbres plantes jardinage,
745,une marguerite,a daisy,arbres plantes jardinage,
746,une orchidée,an orchid,arbres plantes jardinage,
747,une patate,a potato,arbres plantes jardinage,
748,une pelouse,a lawn,arbres plantes jardinage,
749,une pensée,a pansy,arbres plantes jardinage,
750,une piscine,a swimming pool,arbres plantes jardinage,
751,une pivoine,a peony,arbres plantes jardinage,
752,une racine,a root,arbres plantes jardinage,
753,une rose,a rose,arbres plantes jardinage,
754,une salade,a salad,arbres plantes jardinage,
755,une serre,a greenhouse,arbres plantes jardinage,
756,une tige,a rod,arbres plantes jardinage,
757,une tomate,a tomato,arbres plantes jardinage,
758,une tondeuse à gazon,a lawn mower,arbres plantes jardinage,
759,une tulipe,a tulip,arbres plantes jardinage,
760,aérodynamique,aerodynamics,astronomie espace univers,
761,au-delà,beyond,astronomie espace univers,
762,de la poussière,dust,astronomie espace univers,
763,des particules,particles,astronomie espace univers,
764,des rayons,rays,astronomie espace univers,
765,des rayons ultraviolets,ultraviolet rays,astronomie espace univers,
766,extraterrestre,extraterrestrial,astronomie espace univers,
767,gravité zéro,zero gravity,astronomie espace univers,
768,hydrogène,hydrogen,astronomie espace univers,
769,ingénieur,engineer,astronomie espace univers,
770,instable,unstable,astronomie espace univers,
771,intergalactique,intergalactic,astronomie espace univers,
772,interplanétaire,interplanetary,astronomie espace univers,
773,interstellaire,interstellar,astronomie espace univers,
774,l’allumage,the ignition,astronomie espace univers,
775,l’altitude,the altitude,astronomie espace univers,
776,l’astronaute,the astronaut,astronomie espace univers,
777,l’astronomie,astronomy,astronomie espace univers,
778,l’astrophysique,astrophysics,astronomie espace univers,
779,l’atmosphère,the atmosphere,astronomie espace univers,
780,l’azote,nitrogen,astronomie espace univers,
781,l’équipage,the crew,astronomie espace univers,
782,l’équipement,the equipment,astronomie espace univers,
783,l’espace,the space,astronomie espace univers,
784,l’exploration,the exploration,astronomie espace univers,
785,l’hémisphère,the hemisphere,astronomie espace univers,
786,l’impact,the impact,astronomie espace univers,
787,l’oxygène,oxygen,astronomie espace univers,
788,l’univers,the universe,astronomie espace univers,
789,la chaleur,the heat,astronomie espace univers,
790,la combustion,combustion,astronomie espace univers,
791,la comète,the comet,astronomie espace univers,
792,la constellation,the constellation,astronomie espace univers,
793,la densité,the density,astronomie espace univers,
794,la descente,the descent,astronomie espace univers,
795,la force centrifuge,centrifugal force,astronomie espace univers,
796,la galaxie,the galaxy,astronomie espace univers,
797,la gravité,the gravity,astronomie espace univers,
798,la lune,the moon,astronomie espace univers,
799,la navette,the shuttle,astronomie espace univers,
800,la navigation,the navigation,astronomie espace univers,
801,la recherche,the research,astronomie espace univers,
802,la station spatiale,the space station,astronomie espace univers,
803,la stratosphère,the stratosphere,astronomie espace univers,
804,la taille,the size,astronomie espace univers,
805,la technologie,the technology,astronomie espace univers,
806,la température,the temperature,astronomie espace univers,
807,la terre,earth,astronomie espace univers,
808,la vitesse de la lumière,the speed of light,astronomie espace univers,
809,la voie lactée,the milky way,astronomie espace univers,
810,le big bang,the big bang,astronomie espace univers,
811,le ciel,the sky,astronomie espace univers,
812,le cosmos,the cosmos,astronomie espace univers,
813,le ravitailleur,the mothership,astronomie espace univers,
814,le système solaire,the solar system,astronomie espace univers,
815,le transport,the transport,astronomie espace univers,
816,le vol,the flight,astronomie espace univers,
817,les anneaux de saturne,the rings of saturn,astronomie espace univers,
818,les données,the data,astronomie espace univers,
819,les radiations,the radiation,astronomie espace univers,
820,magnétique,magnetic,astronomie espace univers,
821,mars,mars,astronomie espace univers,
822,mercure,mercury,astronomie espace univers,
823,neptune,neptune,astronomie espace univers,
824,jupiter,jupiter,astronomie espace univers,
825,pluton,pluto,astronomie espace univers,
826,saturne,saturn,astronomie espace univers,
827,stellaire,stellar,astronomie espace univers,
828,uranus,uranus,astronomie espace univers,
829,vénus,venus,astronomie espace univers,
830,un astéroïde,an asteroid,astronomie espace univers,
831,un astronome,an astronomer,astronomie espace univers,
832,un atterrisseur lunaire,a lunar lander,astronomie espace univers,
833,un cratère,a crater,astronomie espace univers,
834,un échantillon,a sample,astronomie espace univers,
835,un instrument,an instrument,astronomie espace univers,
836,un laboratoire,a laboratory,astronomie espace univers,
837,un martien,a martian,astronomie espace univers,
838,un module,a module,astronomie espace univers,
839,un moteur,a motor/ an engine,astronomie espace univers,
840,un objectif,an objective,astronomie espace univers,
841,un observatoire,an observatory,astronomie espace univers,
842,un périple,a journey,astronomie espace univers,
843,un physicien,a physicist,astronomie espace univers,
844,un propulseur,a thruster,astronomie espace univers,
845,un radar,a radar,astronomie espace univers,
846,un rayon cosmique,a cosmic ray,astronomie espace univers,
847,un satellite,a satellite,astronomie espace univers,
848,un scientifique,a scientist,astronomie espace univers,
849,un télescope,a telescope,astronomie espace univers,
850,un trou noir,a black hole,astronomie espace univers,
851,un vaisseau spatial,a spaceship,astronomie espace univers,
852,une analyse,an analysis,astronomie espace univers,
853,une année-lumière,a light-year,astronomie espace univers,
854,une anomalie,an anomaly,astronomie espace univers,
855,une catastrophe,a disaster,astronomie espace univers,
856,une collision,a collision,astronomie espace univers,
857,une combinaison spatiale,a space suit,astronomie espace univers,
858,une découverte,a discovery,astronomie espace univers,
859,une éclipse,an eclipse,astronomie espace univers,
860,une étoile,a star,astronomie espace univers,
861,une étoile filante,a shooting star,astronomie espace univers,
862,une expédition,an expedition,astronomie espace univers,
863,une explosion,an explosion,astronomie espace univers,
864,une fusée,a rocket,astronomie espace univers,
865,une météorite,a meteorite,astronomie espace univers,
866,une mission,a mission,astronomie espace univers,
867,une navette spatiale,a space shuttle,astronomie espace univers,
868,une orbite,an orbit,astronomie espace univers,
869,une planète,a planet,astronomie espace univers,
870,une preuve,a proof/ an evidence,astronomie espace univers,
871,une rampe de lancement,a launch pad,astronomie espace univers,
872,une rotation,a rotation,astronomie espace univers,
873,une sonde,a probe,astronomie espace univers,
874,une trajectoire,a trajectory,astronomie espace univers,
875,une transmission,a transmission,astronomie espace univers,
876,une turbulence,turbulence,astronomie espace univers,
877,armé,armed,astronomie espace univers,
878,de la contrebande,smuggling,crime criminalite,
879,de la fausse monnaie,counterfeit money,crime criminalite,
880,des menottes,handcuffs,crime criminalite,
881,l’accusé,the accused,crime criminalite,
882,l’adultère,adultery,crime criminalite,
883,l’assaillant,the assailant,crime criminalite,
884,l’esclavage,slavery,crime criminalite,
885,l’espionnage,spying/ espionage,crime criminalite,
886,la calomnie,slander,crime criminalite,
887,la conspiration,conspiracy,crime criminalite,
888,la contrefaçon,forgery,crime criminalite,
889,la corruption,corruption/ bribery,crime criminalite,
890,la cybercriminalité,cybercrime,crime criminalite,
891,la délinquance,delinquency,crime criminalite,
892,la diffamation,defamation,crime criminalite,
893,la discrimination,discrimination,crime criminalite,
894,la mafia,the mafia.,crime criminalite,
895,la pédophilie,paedophilia,crime criminalite,
896,la peine de mort,the death penalty,crime criminalite,
897,la prostitution,prostitution,crime criminalite,
898,la torture,torture,crime criminalite,
899,le chantage,blackmail,crime criminalite,
900,le crime organisé,organized crime,crime criminalite,
901,le cyberharcèlement,cyberstalking,crime criminalite,
902,le délit de fuite,hit-and-run,crime criminalite,
903,le harcèlement sexuel,sexual harassment,crime criminalite,
904,le suspect,the suspect,crime criminalite,
905,le terrorisme,terrorism,crime criminalite,
906,le tireur,the shooter,crime criminalite,
907,le vandalisme,vandalism,crime criminalite,
908,le vol à l’arrachée,snatching,crime criminalite,
909,le vol à l’étalage,shoplifting,crime criminalite,
910,menaçant,threatening,crime criminalite,
911,trahison,treason,crime criminalite,
912,un assassin,a murderer,crime criminalite,
913,un assassinat,an assassination,crime criminalite,
914,un attentat,an attack,crime criminalite,
915,un braquage,a hold up/ a robbery,crime criminalite,
916,un cambriolage,a burglary,crime criminalite,
917,un cambrioleur,a robber/ a burglar,crime criminalite,
918,un complice,an accomplice,crime criminalite,
919,un contrebandier,a smuggler,crime criminalite,
920,un couteau,a knife.,crime criminalite,
921,un criminel,a criminal,crime criminalite,
922,un dealer de drogue,a drug dealer,crime criminalite,
923,un délit,an offence/ a crime,crime criminalite,
